DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AL,2017,1747,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AL,2018,1972,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AL,2019,2195,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AL,2020,2482,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2010,20566,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2011,20949,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2012,21183,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2013,21629,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2014,22712,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2015,22741,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2016,23202,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2017,24433,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2018,24675,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2019,25241,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,AT,2020,26348,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2010,18963,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2011,19380,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2012,19688,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2013,20878,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2014,21189,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2015,21012,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2016,21550,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2017,21976,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2018,23135,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2019,24013,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BE,2020,25135,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2010,2925,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2011,2814,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2012,2776,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2013,2860,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2014,3260,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2015,3236,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2016,3043,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2017,3480,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2018,3474,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,BG,2019,4059,
